Player Type,Player Name,Team
ALL,Azmatullah Omarzai,AFG
BOWL,Fazalhaq Farooqi,AFG
ALL,Gulbadin Naib,AFG
BAT,Hashmatullah Shahidi,AFG
BAT,Ibrahim Zadran,AFG
ALL,Mohammad Nabi,AFG
BOWL,Noor Ahmad,AFG
WK,Rahmanullah Gurbaz,AFG
BAT,Rahmat Shah,AFG
BOWL,Rashid-Khan,AFG
BAT,Sediqullah Atal,AFG
BOWL,Adam Zampa,AUS
WK,Alex Carey,AUS
BOWL,Ben Dwarshuis,AUS
ALL,Glenn Maxwell,AUS
WK,Josh Inglis,AUS
BAT,Marnus Labuschagne,AUS
ALL,Matthew Short,AUS
BOWL,Nathan Ellis,AUS
BOWL,Spencer Johnson,AUS
BAT,Steven Smith,AUS
BAT,Travis Head,AUS
