Player Type,Player Name,Team
ALL,Axar Patel,IND
ALL,Hardik Pandya,IND
BOWL,Varun Chakravarthy,IND
BOWL,Kuldeep Yadav,IND
WK,KL Rahul,IND
ALL,Ravindra Jadeja,IND
BAT,Shreyas Iyer,IND
BAT,Shubman Gill,IND
BAT,Virat Kohli,IND
BOWL,Mohammed Shami,IND
BAT,Rohit Sharma,IND
ALL,Mitchell Santner,NZ
ALL,Daryl Mitchell,NZ
ALL,Glenn Phillips,NZ
BAT,Kane Williamson,NZ
BOWL,Kyle Jamieson,NZ
BOWL,Matt Henry,NZ
ALL,Michael Bracewell,NZ
BAT,Rachin Ravindra,NZ
WK,Tom Latham,NZ
BAT,Will Young,NZ
BOWL,William O'Rourke,NZ
